Sample;Project;Cruise;Cruise;Sample interval (top-bottom);;DDE;DDN;mbsl;Sample;1096MC002;Sample interval (top-bottom);;Clay fraction;Silt fraction;Clay+Silt;TOC;PFOSA;PFPS;PFHxS;PFHpS;brPFOS;linPFOS;PFOS;PFNS;PFDcS;PFHxA;PFHpA;PFOA;PFNA;PFDcA;PFUnA;PFDoA;PFTriA;PFTeA;4:2 FTS;6:2 FTS;8:2 FTS;;;;
Full-ID;;year;number;from cm;to cm;degrees;degrees;m;ID;Full-ID;from cm;to cm;vol.%;vol.%;vol.%;wt.%;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;µg/kg;;;;
2007105R0100MC010c1_00-01;MAREANO;2007;105;0;1;18,0212;70,1553;-323,60;R100MC010;2007105R0100MC010c0_00-01;0;1;2,4;23,1;25,5;0,8039;<0,18;<0,09;<0,09;<0,09;nr;0,20;0,22;<0,18;<0,18;<0,09;<0,09;0,20;<0,09;<0,09;<0,09;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2007105R0104MC011c1_00-01;MAREANO;2007;105;0;1;17,7280;70,1928;-252,47;R104MC011;2007105R0104MC011c0_00-01;0;1;1,9;11,5;13,4;0,2788;<0,18;<0,09;<0,09;<0,09;nr;<0,09;<0,09;<0,18;<0,18;<0,09;<0,09;0,12;<0,09;<0,09;<0,09;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2007105R0096MC008c1_02-03;MAREANO;2007;105;2;3;18,1493;70,1357;-363,01;R96MC008;2007105R0096MC008c0_00-01;0;1;2,4;20,0;22,3;0,6616;<0,18;<0,09;<0,09;<0,09;nr;0,30;0,34;<0,18;<0,18;<0,09;<0,09;0,33;0,18;<0,09;<0,09;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2007111R0117MC005c1_00-01;MAREANO;2007;111;0;1;17,1297;69,8543;-308,95;R117MC005;2007111R0117MC005c0_00-01;0;1;2,8;21,6;24,4;0,3576;<0,18;<0,09;<0,09;<0,09;nr;0,05;0,05;<0,18;<0,18;<0,09;<0,09;0,10;<0,09;<0,09;<0,09;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2008104R0223MC006c1_00-01;MAREANO;2008;104;0;1;16,3287;69,2623;-482,29;R223MC006;2008104R0223MC005c2_00-01;0;1;2,7;27,2;29,9;1,063;<0,18;<0,09;<0,09;<0,09;nr;0,35;0,35;<0,18;<0,18;<0,09;<0,09;0,43;0,319;<0,09;0,19;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2009105R0367MC025c2_00-01;MAREANO;2009;105;0;1;15,4957;72,4235;-610,99;R367MC025;2009105R0367MC026c6_00-01;0;1;3,3;26,1;29,4;0,4478;<0,18;<0,09;<0,09;<0,09;nr;0,12;0,12;<0,18;<0,18;<0,09;<0,09;0,21;0,098;<0,09;0,11;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2009105R0384MC028c1_00-01;MAREANO;2009;105;0;1;14,6042;72,2748;-1036,93;R384MC028;2009105R0384MC028c0_00-01;0;1;5,1;43,2;48,3;0,53695;<0,18;<0,09;<0,09;<0,09;nr;<0,09;<0,09;<0,18;<0,18;<0,09;<0,09;<0,09;<0,09;<0,09;<0,09;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2009105R0391MC029c2_00-01;MAREANO;2009;105;0;1;15,6665;72,2777;-728,43;R391MC029;2009105R0391MC029c4_00-01;0;1;2,4;19,2;21,6;0,271;<0,18;<0,09;<0,09;<0,09;nr;<0,09;<0,09;<0,18;<0,18;<0,09;<0,09;0,10;<0,09;<0,09;<0,09;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2009105R0421MC033c1_00-01;MAREANO;2009;105;0;1;16,5468;72,1462;-385,34;R421MC033;2009105R0421MC033c4_00-01;0;1;3,5;31,5;35,0;0,4869;<0,003;<0,18;<0,18;<0,18;<0,18;nr;<0,03;<0,18;<0,18;<0,003;<0,003;<0,003;<0,003;<0,003;<0,15;<0,15;<0,15;<0,15;nr;<0,09;<0,18;;;;
2009105R0422BC090c1_00-01;MAREANO;2009;105;0;1;16,9123;72,0352;-342,55;R422BX090;2009105R0422BC090c0_00-01;0;1;3,5;37,4;40,9;0,7446;<0,18;<0,09;<0,09;<0,09;nr;0,61;0,64;<0,18;<0,18;0,11;0,11;0,67;0,33;0,15;0,24;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
2009105R0431MC035c2_00-01;MAREANO;2009;105;0;1;16,7520;71,8623;-357,25;R431MC035;2009105R0431MC035c1_00-01;0;1;5,0;46,9;51,9;0,8171;<0,18;<0,09;<0,09;<0,09;nr;0,87;0,87;<0,18;<0,18;0,12;0,12;0,90;0,41;0,15;0,35;<0,09;<0,15;<0,15;<0,15;<0,30;<0,30;;;;
