"sample_id_i";"year";"station";"core_id";"sdepth_from";"sdepth_to";"longitude";"latitude";"depth";"clay_fraction";"silt_fraction";"sand_fraction";"gravel_fraction";"toc";"n"
"2007105R0104MC011c0_00-01";"2007";"R0104";"c0";"0";"1";"17,72800000000000";"70,1928333333333";"-252,470";"1,91";"11,49";"86,60000000000001";"0";"0,2788";"2"
"2007105R0104MC011c0_01-02";"2007";"R0104";"c0";"1";"2";"17,72800000000000";"70,1928333333333";"-252,470";"1,55";"9,95";"88,50000000000000";"0";"0,3451";"2"
"2008104R0223MC005c2_00-01";"2008";"R0223";"c2";"0";"1";"16,32866666666667";"69,2623333333333";"-482,670";"2,71";"27,19";"70,09999999999999";"0";"1,0630";"3"
"2008104R0223MC006c5_00-01";"2008";"R0223";"c5";"0";"1";"16,32866666666667";"69,2623333333333";"-482,290";"3,00";"32,30";"64,70000000000000";"0";"1,3590";"3"
"2008104R0223MC006c5_01-02";"2008";"R0223";"c5";"1";"2";"16,32866666666667";"69,2623333333333";"-482,290";"2,53";"31,87";"65,59999999999999";"0";"1,4580";"3"
"2009105R0421MC033c4_00-01";"2009";"R0421";"c4";"0";"1";"16,54683333333333";"72,1461666666667";"-385,340";"3,54";"31,46";"65,00000000000000";"0";"0,4869";"2"
"2009105R0421MC033c4_01-02";"2009";"R0421";"c4";"1";"2";"16,54683333333333";"72,1461666666667";"-385,340";"4,32";"35,08";"60,60000000000001";"0";"0,4947";"2"
"2009105R0431MC035c1_00-01";"2009";"R0431";"c1";"0";"1";"16,75204000000000";"71,8622750000000";"-357,250";"4,99";"46,91";"48,10000000000001";"0";"0,8171";"2"
"2009105R0431MC035c1_01-02";"2009";"R0431";"c1";"1";"2";"16,75204000000000";"71,8622750000000";"-357,250";"5,75";"50,35";"43,90000000000000";"0";"0,7335";"2"
"2011105R0682MC001c2+4_00-01";"2011";"R0682";"c2+4";"0";"1";"27,75566666666667";"71,4518333333333";"-402,760";"6,51";"73,09";"20,40000000000001";"0";"0,8600";"2"
"2011105R0682MC001c2+4_01-02";"2011";"R0682";"c2+4";"1";"2";"27,75566666666667";"71,4518333333333";"-402,760";"7,59";"73,91";"18,50000000000000";"0";"0,8800";"2"
"2011113R0739MC019c0_00-01";"2011";"R0739";"c0";"0";"1";"11,15664000000000";"67,7986620000000";"-263,850";"3,81";"51,69";"44,50000000000000";"0";"0,5400";"2"
"2011113R0739MC019c0_01-02";"2011";"R0739";"c0";"1";"2";"11,15664000000000";"67,7986620000000";"-263,850";"4,76";"54,84";"40,40000000000000";"0";"0,5200";"2"
"2011113R0749MC020c0_00-01";"2011";"R0749";"c0";"0";"1";"8,99347200000000";"67,7858630000000";"-854,730";"8,34";"54,86";"36,80000000000000";"0";"0,5800";"2"
"2011113R0749MC020c0_01-02";"2011";"R0749";"c0";"1";"2";"8,99347200000000";"67,7858630000000";"-854,730";"9,83";"66,27";"23,90000000000001";"0";"0,5800";"2"
"2012106R0769MC001c4_00-01";"2012";"R0769";"c4";"0";"1";"10,07875000000000";"68,3470000000000";"-1963,220";"7,66";"63,24";"29,09999999999999";"0";"0,7400";"2"
"2012106R0769MC001c4_01-02";"2012";"R0769";"c4";"1";"2";"10,07875000000000";"68,3470000000000";"-1963,220";"8,60";"72,30";"19,09999999999999";"0";"0,7600";"2"
"2013112R1261MC020c2_00-01";"2013";"R1261";"c2";"0";"1";"4,68505166666667";"63,0314516666667";"-767,550";"10,30";"69,50";"20,20000000000000";"0";"1,3600";"2"
"2013112R1261MC020c2_01-02";"2013";"R1261";"c2";"1";"2";"4,68505166666667";"63,0314516666667";"-767,550";"10,70";"68,60";"20,70000000000000";"0";"1,3500";"2"
"2014106R1298MC037c1_00-01";"2014";"R1298";"c1";"0";"1";"30,91816666666667";"69,8983283333333";"-314,220";"11,10";"86,20";"2,70000000000000";"0";"1,7800";"2"
"2014106R1298MC037c1_01-02";"2014";"R1298";"c1";"1";"2";"30,91816666666667";"69,8983283333333";"-314,220";"10,80";"86,00";"3,20000000000000";"0";"1,8600";"2"
"2014106R1331MC041c1_00-01";"2014";"R1331";"c1";"0";"1";"29,19516666666667";"71,3220000000000";"-361,720";"5,29";"53,61";"41,10000000000000";"0";"0,7640";"2"
"2014106R1331MC041c1_01-02";"2014";"R1331";"c1";"1";"2";"29,19516666666667";"71,3220000000000";"-361,720";"5,44";"55,56";"39,00000000000000";"0";"0,7920";"2"
"2014208R1349MC416c1_00-01";"2014";"R1349";"c1";"0";"1";"5,57316666666667";"63,5906666666667";"-767,180";"12,40";"74,70";"12,90000000000001";"0";"1,4600";"2"
"2014208R1349MC416c1_01-02";"2014";"R1349";"c1";"1";"2";"5,57316666666667";"63,5906666666667";"-767,180";"12,60";"74,60";"12,80000000000000";"0";"1,5700";"2"
"2015113R1565MC097c1_00-01";"2015";"R1565";"c1";"0";"1";"8,22683300000000";"66,5551670000000";"-338,310";"6,16";"54,84";"39,00000000000000";"0";"0,4960";"2"
"2015113R1565MC097c1_01-02";"2015";"R1565";"c1";"1";"2";"8,22683300000000";"66,5551670000000";"-338,310";"6,31";"54,89";"38,80000000000000";"0";"0,4980";"2"
