"sample_id_o";"year";"station";"core_id";"sdepth_from";"sdepth_to";"longitude";"latitude";"depth";"pfosa";"pfbs";"pfps";"pf_hx_s";"pf_hp_s";"br_pfos";"lin_pfos";"pfos";"pfns";"pf_dc_s";"pf_hx_a";"pf_hp_a";"pfoa";"pfna";"pf_dc_a";"pf_un_a";"pf_do_a";"pf_tri_a";"pf_te_a"
"Full-ID";NA;"number";"core ID";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2007105R0100MC010c1_00-01";"2007";"R0100";"c1";"0";"1";"18,02118333333333";"70,1553116666667";"-323,6000";NA;NA;NA;NA;NA;NA;"0,1963562374823472";"0,2226858937569070";NA;NA;NA;NA;"0,19550672733256355";NA;NA;NA;NA;NA;NA
"2007105R0104MC011c1_00-01";"2007";"R0104";"c1";"0";"1";"17,72800000000000";"70,1928333333333";"-252,4700";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,12486474049188434";NA;NA;NA;NA;NA;NA
"2007105R0096MC008c1_02-03";"2007";"R0096";"c1";"2";"3";"18,14933333333333";"70,1356666666667";"-363,0100";NA;NA;NA;NA;NA;NA;"0,3012690130752398";"0,3429922969139708";NA;NA;NA;NA;"0,32543922019591370";"0,1822003682669110";NA;NA;NA;NA;NA
"2007111R0117MC005c1_00-01";"2007";"R0117";"c1";"0";"1";"17,12966666666667";"69,8543333333333";"-308,9500";NA;NA;NA;NA;NA;NA;"0,0479844186269524";"0,0479844186269524";NA;NA;NA;NA;"0,10322855239655727";NA;NA;NA;NA;NA;NA
"2008104R0223MC006c1_00-01";"2008";"R0223";"c1";"0";"1";"16,32866666666667";"69,2623333333333";"-482,2900";NA;NA;NA;NA;NA;NA;"0,3515047861891707";"0,3515047861891707";NA;NA;NA;NA;"0,43351554212586396";"0,3191573630238118";NA;"0,1947318463873944";NA;NA;NA
"2009105R0367MC025c2_00-01";"2009";"R0367";"c2";"0";"1";"15,49566666666667";"72,4235000000000";"-610,9900";NA;NA;NA;NA;NA;NA;"0,1155723337898888";"0,1155723337898888";NA;NA;NA;NA;"0,20554597499891678";"0,0980881424276914";NA;"0,1089115858032261";NA;NA;NA
"2009105R0384MC028c1_00-01";"2009";"R0384";"c1";"0";"1";"14,60416666666667";"72,2748333333333";"-1036,9300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2009105R0391MC029c2_00-01";"2009";"R0391";"c2";"0";"1";"15,66650000000000";"72,2776666666667";"-728,4300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,10347170368735979";NA;NA;NA;NA;NA;NA
"2009105R0421MC033c1_00-01";"2009";"R0421";"c1";"0";"1";"16,54683333333333";"72,1461666666667";"-385,3400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2009105R0422BC090c1_00-01";"2009";"R0422";"c1";"0";"1";"16,91233333333333";"72,0351666666667";"-342,5500";NA;NA;NA;NA;NA;NA;"0,6096848947788384";"0,6433360087957450";NA;NA;"0,1077495440906995";"0,1057260305691045";"0,67265777651771153";"0,3344227092991381";"0,1467234928518023";"0,2391569046148784";NA;NA;NA
"2009105R0431MC035c2_00-01";"2009";"R0431";"c2";"0";"1";"16,75204000000000";"71,8622750000000";"-357,2500";NA;NA;NA;NA;NA;NA;"0,8668422206107085";"0,8668422206107085";NA;NA;"0,1178901422485339";"0,1215506438663186";"0,89577912218069844";"0,4084891482997947";"0,1474177010243480";"0,3520314807954110";NA;NA;NA
"2009111R0447BC481c1_00-01";"2009";"R0447";"c1";"0";"1";"15,75116666666667";"71,7060000000000";"-778,0600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2010110R0494MC030c1_00-01";"2010";"R0494";"c1";"0";"1";"25,78728500000000";"72,3443150000000";"-249,5100";NA;NA;NA;NA;NA;NA;"0,1472567826496889";"0,1472567826496889";NA;NA;NA;NA;"0,39200763433196817";"0,1544636050365998";NA;NA;NA;NA;NA
"2010110R0498MC033c1_00-01";"2010";"R0498";"c1";"0";"1";"25,84316666666667";"72,0961666666667";"-236,2600";NA;NA;NA;NA;NA;NA;"0,3695423434185023";"0,3695423434185023";NA;NA;NA;NA;"0,56663322174756303";"0,2520340298347103";NA;NA;NA;NA;NA
"2010110R0542MC037c2_00-01";"2010";"R0542";"c2";"0";"1";"17,02574000000000";"70,3940766666667";"-1072,2600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2010110R0573MC043c6_00-01";"2010";"R0573";"c6";"0";"1";"16,90683333333333";"70,8976666666667";"-936,5400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2010110R0595MC045c3_00-01";"2010";"R0595";"c3";"0";"1";"19,57266666666667";"70,4816666666667";"-303,6000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2010112R0613MC047c4_00-01";"2010";"R0613";"c4";"0";"1";"20,83133333333333";"70,7705000000000";"-247,2200";NA;NA;NA;NA;NA;NA;"0,2042063642976749";"0,2042063642976749";NA;NA;NA;NA;"0,27970107563234675";"0,1389064423479249";NA;NA;NA;NA;NA
"2010112R0618MC048c2_00-01";"2010";"R0618";"c2";"0";"1";"21,04564833333333";"70,6956750000000";"-259,2900";NA;NA;NA;NA;NA;NA;"0,0906844243600767";"0,0906844243600767";NA;NA;NA;NA;"0,15854495256337475";"0,1013250146217449";NA;NA;NA;NA;NA
"2010112R0621MC049c2_00-01";"2010";"R0621";"c2";"0";"1";"20,84383333333333";"70,6838333333333";"-203,4300";NA;NA;NA;NA;NA;NA;"0,2385873538141970";"0,2385873538141970";NA;NA;NA;NA;"0,29154246327374600";"0,1238527974370500";NA;NA;NA;NA;NA
